game_num,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C6,C7,C8,D1,D2,D3,D4,A25,A26,A27,A28,A29,A30,A31,A32
1,3.971,4.616,4.189,2.529,2.452,2.89,3.305,2.78,3.031,2.329,1.738,5.426,2.22,4.9,2.883,2.948,1.519,3.24,3.064,2.374,1.629,5.289,2.296,3.808,-0.642,0.919,1.915,2.786,-0.016,1.566,0.505,-3.247
2,4.971,4.616,5.189,2.529,2.452,2.89,4.305,3.78,6.031,1.329,0.738,4.426,3.22,5.9,3.883,3.948,1.519,2.24,4.064,2.374,2.629,7.289,2.296,3.808,0.358,0.919,1.915,1.786,-1.016,0.566,2.505,-3.247
3,2.971,3.616,1.189,2.529,2.452,2.89,2.305,1.78,1.031,1.329,0.738,3.426,4.22,2.9,1.883,1.948,0.519,6.24,3.064,2.374,1.629,2.289,2.296,2.808,-0.642,-0.081,0.915,1.786,-0.016,1.566,-1.495,-3.247
4,3.971,4.616,1.189,4.529,4.452,3.89,6.305,1.78,0.031,4.329,0.738,6.426,3.22,1.9,0.883,1.948,6.519,1.24,4.064,2.374,3.629,0.289,3.296,2.808,-0.642,-0.081,-0.085,2.786,0.984,3.566,-2.495,-0.247
5,2.971,4.616,3.189,3.529,2.452,3.89,4.305,2.78,2.031,2.329,0.738,4.426,5.22,3.9,1.883,2.948,3.519,4.24,4.064,3.374,4.629,5.289,4.296,3.808,1.358,0.919,1.915,2.786,-0.016,0.566,-0.495,-3.247
6,3.971,5.616,4.189,1.529,2.452,1.89,3.305,4.78,1.031,4.329,1.738,3.426,5.22,3.9,2.883,4.948,4.519,5.24,3.064,2.374,1.629,1.289,3.296,4.808,-0.642,0.919,0.915,2.786,-1.016,0.566,-1.495,-3.247
7,2.971,3.616,3.189,2.529,2.452,2.89,3.305,2.78,3.031,2.329,0.738,5.426,2.22,2.9,0.883,1.948,1.519,2.24,3.064,2.374,2.629,3.289,2.296,1.808,1.358,0.919,0.915,1.786,-0.016,1.566,-0.495,-3.247
8,1.971,5.616,2.189,2.529,0.452,0.89,4.305,4.78,5.031,3.329,1.738,5.426,5.22,4.9,2.883,4.948,3.519,5.24,3.064,3.374,1.629,1.289,2.296,4.808,1.358,0.919,0.915,3.786,-2.016,-0.434,0.505,-3.247
9,3.971,2.616,4.189,2.529,4.452,3.89,2.305,0.78,0.031,0.329,0.738,2.426,1.22,1.9,0.883,1.948,0.519,0.24,4.064,1.374,1.629,0.289,4.296,0.808,-0.642,1.919,0.915,1.786,0.984,-0.434,-2.495,-0.247
10,3.971,2.616,2.189,2.529,3.452,3.89,2.305,0.78,0.031,2.329,-0.262,2.426,1.22,2.9,5.883,0.948,0.519,1.24,3.064,2.374,1.629,2.289,2.296,1.808,0.358,-0.081,0.915,1.786,-0.016,0.566,-1.495,-3.247
11,0.971,5.616,2.189,2.529,0.452,-0.11,3.305,6.78,3.031,4.329,5.738,5.426,4.22,4.9,1.883,4.948,4.519,4.24,2.064,4.374,0.629,3.289,2.296,5.808,0.358,-0.081,1.915,3.786,-3.016,-1.434,-0.495,0.753
12,2.971,4.616,1.189,3.529,2.452,2.89,4.305,2.78,1.031,3.329,0.738,2.426,3.22,2.9,3.883,2.948,3.519,5.24,3.064,2.374,2.629,1.289,3.296,3.808,-0.642,-0.081,0.915,2.786,-0.016,1.566,-1.495,-3.247
13,3.971,4.616,4.189,2.529,2.452,2.89,2.305,2.78,2.031,1.329,0.738,3.426,2.22,3.9,1.883,2.948,1.519,2.24,4.064,3.374,2.629,6.289,3.296,3.808,0.358,0.919,1.915,1.786,-0.016,-0.434,-0.495,-3.247
14,2.971,5.616,2.189,2.529,1.452,1.89,3.305,3.78,3.031,4.329,0.738,3.426,3.22,5.9,1.883,6.948,3.519,2.24,3.064,3.374,1.629,1.289,2.296,3.808,0.358,0.919,0.915,2.786,-3.016,-0.434,2.505,-3.247
15,2.971,5.616,3.189,3.529,1.452,0.89,4.305,2.78,5.031,2.329,3.738,4.426,3.22,5.9,1.883,3.948,2.519,2.24,2.064,3.374,0.629,1.289,-0.704,4.808,1.358,0.919,0.915,3.786,-1.016,0.566,2.505,0.753
16,1.971,4.616,1.189,2.529,1.452,1.89,2.305,3.78,3.031,3.329,1.738,4.426,2.22,3.9,1.883,3.948,3.519,2.24,2.064,2.374,1.629,1.289,-0.704,4.808,0.358,0.919,0.915,2.786,-2.016,-0.434,0.505,-0.247
17,3.971,3.616,0.189,3.529,2.452,4.89,5.305,1.78,0.031,2.329,0.738,4.426,5.22,1.9,1.883,2.948,5.519,4.24,4.064,3.374,4.629,0.289,4.296,2.808,1.358,-0.081,1.915,1.786,0.984,1.566,-2.495,-3.247
18,3.971,3.616,5.189,2.529,3.452,3.89,2.305,0.78,4.031,1.329,2.738,3.426,1.22,3.9,1.883,1.948,0.519,1.24,3.064,2.374,3.629,1.289,3.296,0.808,3.358,3.919,0.915,3.786,-0.016,-0.434,1.505,3.753
19,2.971,3.616,2.189,5.529,5.452,3.89,5.305,0.78,2.031,0.329,0.738,3.426,1.22,2.9,0.883,0.948,0.519,1.24,3.064,1.374,2.629,0.289,4.296,0.808,1.358,0.919,0.915,2.786,0.984,0.566,-1.495,-3.247
20,1.971,4.616,4.189,3.529,1.452,1.89,5.305,2.78,7.031,1.329,4.738,5.426,1.22,4.9,0.883,2.948,1.519,1.24,3.064,2.374,2.629,3.289,2.296,2.808,4.358,3.919,1.915,2.786,-1.016,1.566,3.505,3.753
21,2.971,3.616,1.189,3.529,4.452,2.89,5.305,1.78,1.031,3.329,0.738,4.426,2.22,1.9,0.883,3.948,5.519,1.24,3.064,1.374,2.629,0.289,3.296,1.808,0.358,-0.081,-0.085,2.786,0.984,1.566,-1.495,-3.247
22,2.971,3.616,5.189,1.529,2.452,4.89,-0.695,3.78,6.031,1.329,3.738,5.426,1.22,3.9,0.883,1.948,1.519,1.24,3.064,5.374,6.629,1.289,2.296,6.808,8.358,1.919,1.915,2.786,0.984,-0.434,2.505,-3.247
23,2.971,3.616,2.189,4.529,4.452,3.89,4.305,2.78,1.031,1.329,-0.262,1.426,4.22,2.9,0.883,2.948,1.519,7.24,3.064,1.374,2.629,0.289,3.296,1.808,-0.642,-0.081,0.915,1.786,0.984,2.566,-2.495,-3.247
24,3.971,4.616,5.189,2.529,2.452,3.89,5.305,2.78,4.031,1.329,0.738,3.426,2.22,3.9,0.883,1.948,2.519,2.24,4.064,2.374,4.629,7.289,4.296,3.808,0.358,0.919,1.915,1.786,-0.016,2.566,-0.495,-3.247
25,5.971,3.616,5.189,2.529,5.452,6.89,4.305,-0.22,0.031,-0.671,3.738,6.426,0.22,3.9,-0.117,-1.052,-0.481,0.24,5.064,0.374,3.629,-0.711,4.296,-1.192,-0.642,6.919,-0.085,5.786,2.984,1.566,-1.495,-0.247
26,3.971,2.616,2.189,3.529,3.452,3.89,2.305,2.78,3.031,1.329,0.738,3.426,1.22,3.9,1.883,1.948,0.519,1.24,3.064,2.374,3.629,0.289,3.296,0.808,0.358,0.919,0.915,2.786,-0.016,-0.434,-1.495,-3.247
27,3.971,4.616,6.189,2.529,2.452,3.89,2.305,3.78,5.031,1.329,0.738,2.426,2.22,3.9,0.883,2.948,1.519,1.24,4.064,2.374,3.629,7.289,3.296,2.808,0.358,0.919,1.915,1.786,-0.016,0.566,0.505,-3.247
28,4.971,2.616,5.189,3.529,4.452,4.89,3.305,0.78,0.031,2.329,0.738,5.426,2.22,2.9,-0.117,-0.052,0.519,3.24,4.064,0.374,2.629,-0.711,4.296,-0.192,0.358,0.919,0.915,2.786,1.984,0.566,-1.495,-0.247
29,3.971,2.616,4.189,2.529,2.452,6.89,3.305,1.78,4.031,1.329,2.738,1.426,1.22,2.9,1.883,1.948,0.519,0.24,3.064,5.374,6.629,0.289,4.296,0.808,7.358,1.919,0.915,1.786,1.984,-0.434,0.505,-3.247
30,6.002,3.78,5.263,3.605,5.477,5.938,3.433,-0.001,0.175,-0.492,-0.226,1.545,2.321,3.014,0.936,0.135,0.646,5.354,6.111,0.474,4.7,0.364,5.365,1.003,-0.605,-0.064,3.894,0.899,1.915,1.572,-2.472,-3.355
31,7.008,3.816,7.279,4.622,7.482,6.949,2.461,-0.953,0.207,-1.452,-1.218,0.571,0.343,3.039,-0.052,-0.824,-1.326,-1.621,6.121,-0.504,5.716,8.381,5.38,-0.954,-0.596,-0.061,8.889,0.924,3.9,1.573,-0.468,-3.379
32,2.971,4.616,1.189,6.529,4.452,3.89,3.305,2.78,0.031,2.329,-0.262,3.426,3.22,2.9,-0.117,0.948,5.519,2.24,4.064,0.374,2.629,0.289,4.296,1.808,-0.642,-0.081,0.915,2.786,0.984,2.566,-2.495,-3.247
33,1.971,4.616,4.189,1.529,1.452,2.89,2.305,4.78,1.031,1.329,7.738,1.426,1.22,2.9,-0.117,2.948,0.519,0.24,3.064,1.374,2.629,2.289,2.296,3.808,-0.642,0.919,0.915,3.786,-1.016,-0.434,-1.495,1.753
34,4.971,3.616,1.189,6.529,4.452,4.89,3.305,0.78,7.031,0.329,-0.262,1.426,1.22,4.9,2.883,1.948,1.519,0.24,4.064,1.374,4.629,0.289,4.296,0.808,-0.642,-0.081,1.915,2.786,-0.016,0.566,0.505,-3.247
35,2.971,3.616,5.189,1.529,2.452,2.89,3.305,1.78,2.031,0.329,5.738,4.426,1.22,2.9,-0.117,0.948,0.519,1.24,3.064,1.374,2.629,5.289,2.296,1.808,0.358,6.919,0.915,4.786,-0.016,1.566,0.505,3.753
36,3.971,3.616,1.189,2.529,2.452,3.89,2.305,4.78,2.031,1.329,0.738,2.426,2.22,3.9,0.883,2.948,1.519,6.24,3.064,2.374,1.629,0.289,2.296,3.808,1.358,-0.081,0.915,1.786,-1.016,0.566,-0.495,-3.247
