game,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C6,C7,C8,D1,D2,D3,D4,A25,A26,A27,A28,A29,A30,A31,A32
Crokinole,9,7,8,3,9,7,6,2,3,2,1,6,2,7,4,4,2,2,9,4,9,10,7,3,7,6,10,3,6,6,7,1
Love Letter,9,5,7,7,10,10,6,2,6,2,8,7,3,7,5,7,2,3,10,8,8,2,8,3,6,5,3,6,4,5,6,8
Skull,10,4,9,6,10,10,7,1,8,1,9,8,2,9,4,6,2,1,10,7,7,2,8,4,8,9,4,5,3,6,8,9
Codenames,9,6,8,5,9,10,8,2,3,2,7,9,2,7,3,4,2,2,9,5,9,3,9,3,7,8,3,7,7,7,6,7
Hanabi,8,6,4,7,8,7,9,3,7,3,10,10,3,8,5,5,3,2,7,4,6,2,8,4,7,9,3,9,5,7,8,10
Can't Stop,10,6,4,10,9,10,5,2,8,2,3,4,3,9,5,6,2,2,10,6,9,2,8,3,8,3,4,4,3,5,8,3
Azul,8,6,5,5,8,8,7,4,5,4,2,7,4,6,5,7,3,3,9,5,9,8,8,5,5,4,8,5,5,6,5,2
Hive,9,7,8,1,8,7,7,3,4,3,1,8,2,7,4,5,2,1,9,5,9,10,5,4,6,5,9,10,4,7,6,1
Catan,7,5,7,9,6,8,7,4,4,5,3,7,3,6,4,7,3,3,8,5,9,7,8,5,6,7,6,5,4,6,6,3
Dominion,8,7,3,5,7,7,9,7,3,8,2,9,4,5,6,4,6,4,8,7,8,2,7,5,5,3,4,6,5,7,4,3
7 Wonders,7,7,6,5,9,7,7,5,3,6,4,6,6,6,6,5,4,5,7,6,8,3,8,4,5,5,5,5,5,6,4,4
Pandemic,8,7,9,6,7,7,8,6,10,5,3,8,3,9,6,8,4,2,7,5,8,7,8,6,9,9,5,7,4,6,9,3
Secret Hitler,8,5,10,7,8,8,7,2,9,2,10,8,3,10,4,5,2,2,8,6,7,2,9,4,9,10,4,8,3,5,10,10
Concordia,9,7,6,3,7,7,8,6,3,7,2,7,5,6,6,6,5,6,8,6,8,7,8,5,4,5,6,6,6,8,4,3
Agricola,6,8,5,5,5,4,9,8,9,7,2,7,5,10,7,10,7,5,6,8,5,4,7,6,7,6,6,6,3,7,8,3
Brass Birmingham,5,9,8,4,4,3,9,10,6,10,2,8,6,9,7,8,8,6,5,9,3,7,7,8,6,6,5,7,4,8,6,3
Spirit Island,5,10,7,6,3,2,10,9,10,6,2,10,5,10,7,7,5,4,4,9,2,9,7,7,10,8,5,9,5,8,10,4
Chess,9,7,10,0,4,4,10,5,8,4,0,6,2,9,6,6,3,2,10,3,7,10,7,7,8,6,9,10,2,8,9,1
CRUCIBLE,6,8,7,5,5,5,8,8,7,7,3,8,5,8,6,7,6,5,6,7,5,5,7,6,6,6,5,7,5,7,6,4
HAUL,7,7,8,6,6,6,7,6,7,6,4,7,4,7,6,6,5,5,7,6,6,5,7,5,6,6,5,6,5,7,6,5
